Genres,IMDb,Rotten Tomatoes,Title
"Comedy,Romance",5.5,57,Valley Girl
"Action,Horror,Thriller",4,57,Rogue
Documentary,6.7,56,Skin: A History of Nudity in the Movies
"Comedy,Romance",5.1,56,A Nice Girl Like You
"Comedy,Drama,Romance",6.4,55,Breaking Fast
"Horror,Mystery",4.8,55,Amulet
Documentary,6.2,55,Notturno
"Drama,Thriller",4.3,55,Centigrade
Drama,5.8,55,Wander Darkly
"Comedy,Drama",5.5,55,Hooking Up
"Adventure,Horror,Mystery,Thriller",5.4,55,Follow Me
"Comedy,Drama,Fantasy",6.4,54,Premature
"Horror,Sci-Fi,Thriller",3.8,53,Intersect
"Drama,Mystery,Thriller",5.5,53,Disappearance at Clifton Hill
"Crime,Drama,Thriller",5.1,53,The Big Ugly
Drama,5.2,53,The Roads Not Taken
"Drama,Romance",6.2,53,I Met a Girl
"Biography,Drama,Music",6.8,53,Billie
Comedy,5.9,53,VHYes
"Crime,Drama,Romance,Thriller",4.2,52,Infamous
"Drama,Music,Romance",6.9,52,Farewell Amor
"Comedy,Drama,Family,Fantasy,Sci-Fi",6.3,52,Good Boy
Horror,4.2,52,Behind You
"Drama,Fantasy,Horror,Mystery,Sci-Fi,Thriller",6,51,Pooka Lives!
Horror,5.5,51,Crawlers
"Drama,Romance",6.1,50,The Sunlit Night
"Drama,Fantasy,Horror,Mystery,Sci-Fi,Thriller",5.3,49,The Current Occupant
"Comedy,Drama,Romance",4.3,49,Bad Therapy
"Drama,Western",4.8,49,Savage State
"Action,Horror,Sci-Fi",4.3,48,Stairs
"Action,Drama",5.5,48,Rag Doll
"Drama,Sci-Fi,Thriller",3.7,48,The Dustwalker
Documentary,5.4,47,The State of Texas vs. Melissa
"Family,Sport",5.5,47,Swimming for Gold
Sci-Fi,3.8,47,The Complex: Lockdown
"Documentary,Sport",7,47,The Standard
"Crime,Thriller",5.3,46,Delivered
"Action,Comedy",6.4,46,"The Legend of Baron To'a"
"Horror,Mystery,Thriller",5.2,46,Awoken
"Comedy,Romance",5.1,46,Modern Persuasion
Romance,4.5,45,My Valentine
Comedy,3.6,44,1 Night In San Diego
Comedy,2.9,44,The Swing of Things
History,7.8,44,The Story of Soaps
"Family,Musical",3.7,44,"Dr. Seuss' The Grinch Musical"
Comedy,4.4,44,How to Fake a War
"Drama,Fantasy,Romance",4.8,43,Endless
Documentary,6.4,42,Naughty Books
Horror,2.9,39,Carrion
"Drama,Family,Fantasy",4.4,39,A Christmas Hero
